Geneid	alignments
653635	3132
100422834	2
645520	0
79501	0
729737	494
100507658	42
100132287	616
100288646	45
729759	6
100131754	31219
81399	4
100287654	41
100133331	747
100288069	219
100287934	121
400728	88
79854	281
643837	3392
100506327	248
284593	40
284600	1713
100130417	179
148398	16
26155	3316
339451	1883
84069	41
84808	61
57801	1277
9636	210
375790	19456
401934	0
54991	1056
406984	1
406983	0
554210	0
100506376	0
254173	1
8784	0
7293	8
51150	4153
126792	5104
388581	15
118424	3248
6339	785
116983	14287
126789	360
54973	4639
80772	2404
83756	254
1855	6188
54587	808
100506404	0
54998	1727
81669	6918
148413	1857
55052	1786
441869	130
643965	74
100288271	14
64856	913
219293	156
83858	1133
55210	1372
339453	1650
29101	4745
643988	1076
142678	3606
8510	29
984	3262
728661	42402
8511	28
728642	2689
100506482	11304
9906	4033
65220	3503
2782	107037
163688	16
339456	171
85452	73
2563	152
5590	5780
100506504	1042
199990	1168
100128003	1366
6497	20743
79906	254
100129534	897
11079	5027
5192	702
9651	1890
55229	2055
388585	181
115110	8
100133445	5
8764	109
100506589	5
127281	4407
79258	219
100287898	26
140625	0
440556	193
63976	810
100422968	0
27237	29
1953	2091
693135	0
127262	3827
49856	735
7161	61
100506635	0
57212	5416
148870	8
388588	7
57470	7203
9731	4710
1677	1580
339448	1701
100133612	0
728716	1
284661	0
55966	1950
261734	1850
8514	1980
26038	19638
6146	41393
388591	1243
23463	3193
148645	1
390992	0
387509	12563
11332	8702
100130071	51
54626	2
83715	21
100422975	0
8718	2662
57449	8189
79707	6112
80835	4
3104	1435
9903	1523
148479	4528
90326	454
55735	2419
100505887	0
23261	22219
100505935	296
100505910	0
9341	2553
8863	1234
10911	0
3604	0
11315	6033
54206	3748
50651	1667
473	25462
100505990	0
2023	11084
100505975	22
765	3
155184	18
6518	16
100302218	0
80045	7
407040	0
727721	0
9563	5057
80176	868
100506022	36
84275	747
199953	1617
5293	2003
644997	2
22883	35173
645010	2
56998	8311
84328	3844
64802	863
116362	4
10277	8608
23095	92648
100287506	26
5226	13139
378708	662
1325	293
1676	3150
5195	1456
54897	252
148345	0
23435	22009
10747	1168
6723	11831
5394	5166
2475	9360
10218	26
29914	2639
57540	8228
26232	599
93611	9088
26270	721
10459	1516
374946	13394
100506086	35419
57085	110
100506273	43
284498	0
100506310	0
100506116	0
4524	4295
1185	9113
4878	49
4879	3
26829	2
90231	1974
5351	2109
9927	11727
60672	2966
943	2
7133	446
55187	13202
677885	19
9249	135
343066	0
126767	0
93190	2
390999	0
65121	0
440560	0
343069	61
65122	0
400735	0
343071	0
441871	0
440561	0
653606	0
729368	0
441873	0
440563	11
645359	0
401940	0
343068	0
391002	0
343070	0
400736	0
391003	0
654348	0
391001	0
729516	0
653619	0
729528	0
645414	0
391004	0
645425	0
126755	2
10630	232
7799	21660
23254	7093
200197	85
55092	216
114827	10
79180	513
11330	0
63036	3
51032	44
842	565
23341	3498
100507192	14
79814	82
645317	1916
84301	280
6248	439
23207	6779
284723	434
388595	8
54751	3307
440567	7675
729614	779
23013	37062
7709	3009
149563	119
27129	17
1187	5
1188	16
348487	331
1969	202
100506484	0
128272	85
79363	459
54455	3898
26099	4331
374955	28
55707	2106
114819	4904
26871	12
100506533	856
100133301	72
55672	17309
84809	7142
11209	377
26869	7
729574	47
284729	3
729587	41
6060	10
11223	258
100506687	63
26870	7
9696	4095
4237	327
23400	11000
6390	1878
11240	187
400743	0
29943	0
51702	0
23569	1
353238	0
55920	5392
55160	4857
81569	23
84966	7427
127707	0
5081	9
80834	0
8659	702
100302276	2
126917	4532
23352	27453
23065	6167
51154	2315
246181	148
22977	62
100506730	1124
8574	794
54896	1036
832	9628
644075	274
644083	1
440574	3545
4681	8637
3362	72
255104	29
54546	0
23252	4809
30814	0
5320	0
5322	3
26279	0
64600	0
391013	1
127733	464
127731	7
339505	31
55450	27235
79594	2401
163933	428
978	18
65018	12532
1650	5724
57576	465
400745	310
50809	39666
8672	19893
100302155	4
1889	2744
100506824	6
100506801	27
84224	1583
249	355
5909	5604
84196	8108
401944	1
3339	1586
23436	0
10136	0
29092	889
998	34444
54361	1583
9923	7446
2046	136
712	158
714	192
713	67
2048	12314
100422914	0
646262	0
729059	6
23028	13327
100422866	1
7798	2862
3352	31
10236	26463
80818	11361
148898	627
6920	65
55616	653
1870	51
3399	867
259283	0
729856	0
6135	22130
6924	6429
100506963	74
57095	7347
11313	2007
2582	1268
3155	284
2517	1247
1269	2
55629	3494
10772	7009
127294	0
58985	0
163702	9
284632	0
57822	6
90529	775
57185	1497
11123	880
100506985	1499
400746	2
10250	7161
25932	14690
864	4
25949	2650
57035	5958
6007	141
23585	11927
6006	31
55219	12040
26119	239
57134	2255
100507013	13
57190	11435
56181	5586
646471	1328
79000	128
164091	2431
3925	232445
5051	299
2134	585
7780	4
84676	0
149420	14557
79927	71
100128346	78
51042	170
10256	683
378807	6
64793	2460
83442	4895
91544	748
1043	2
55057	34
257101	2
79727	0
79947	3380
3151	7263
6195	268
100302190	0
8289	28452
55650	460
84243	2811
2810	8
54707	1368
63906	1220
8431	2
10726	3573
126695	8
646567	130
388610	2687
115572	6
6548	1530
23038	7065
84065	2619
644961	8980
84958	8
9064	356
8547	4
388611	2
2827	119
10163	3191
27245	12810
2268	125
2537	863
199870	1520
23673	15633
5511	6162
677774	13
9473	322
6118	2463
27293	8
55113	1024
2140	785
653566	4852
5724	102
22826	4975
93974	5336
83667	1363
54797	946
65979	6503
8420	2037
1104	2133
6080	20
26768	26
54952	1843
85028	814
692212	73
677838	180
677825	93
692073	91
115273	64
6883	963
26824	5
10691	2252
51441	9764
4985	7
2035	7063
399474	107
6429	11288
51102	1028
10076	7203
100288450	0
4146	112
100129196	18
7805	332
9672	65184
9698	18810
692234	33
692235	33
692200	5
28997	63
79570	20166
9410	1508
51538	4681
2170	6691
347735	661
149086	0
284551	0
64129	139
3061	1005
553115	2590
1307	604
576	21171
100423028	9
90853	6
8073	18967
100507229	78
10657	26501
55116	1681
23633	12330
200081	6017
79140	2852
55721	883
149069	218
100507457	140
56063	741
8668	4666
339483	1862
84734	202
3932	3
3065	1374
65108	110841
100128071	89
81629	465
55108	8460
728116	3598
653121	8193
339487	335
5928	16578
81493	138
57648	7876
8565	6729
64766	5493
252995	1859
3208	2160
113452	99
127544	5594
100505584	36
204	2713
113451	830
55223	1629
149076	8886
1912	6959
7579	833
114784	19433
127540	6
84970	57
693137	0
2709	14
127534	13
2707	18
2701	443
113444	1999
58512	2704
100506144	127
9204	2862
79830	2331
100506168	32091
6421	40151
9202	14235
79932	4921
23154	24549
339488	562
5690	3101
127703	17088
63967	249
192670	14034
26523	7541
192669	1388
27285	1509
54936	2838
1296	164
27095	2890
55700	15825
9967	17321
79729	686
55194	342
83931	5901
100506594	9
84967	1280
127700	530
64960	827
1441	41
2899	32111
100422898	0
728431	6
80149	22
64769	11040
79753	2540
7802	2187
29889	2380
284654	2
54955	1580
55143	157
284656	3097
149175	5521
79693	1753
127687	1275
4520	3841
3633	1325
10946	3650
2275	1022
51118	2055
5453	3619
64121	2341
26292	486
100506806	3
81025	70
54933	89
79647	6621
4725	6873
23499	81084
100292290	12
643314	2425
353500	507
728448	1224
8761	5917
100506950	22
677834	6
26508	450
84618	84
51440	14348
10450	2279
656	219
64064	14
100287437	1
54802	2028
4610	1502
84879	900
10487	10303
5538	5727
6018	8979
127391	2
10269	4192
