"geneid"	"sample1"	"sample2"	"sample3"	"sample4"	"sample5"	"sample6"
"1"	653635	2158	465	1753	3132	3428	2848
"2"	100422834	0	0	0	2	0	1
"3"	645520	6	0	1	0	0	1
"4"	79501	0	0	0	0	0	0
"5"	729737	283	18	222	494	381	419
"6"	100507658	45	1	23	42	48	46
"7"	100132287	491	35	298	616	640	671
"8"	100288646	8	4	18	45	36	44
"9"	729759	0	1	0	6	9	1
"10"	100131754	223447	292009	117502	31219	20557	31935
"11"	81399	1	2	0	4	11	1
"12"	100287654	8	1	12	41	38	34
"13"	100133331	512	50	437	747	837	931
"14"	100288069	64	6	153	219	168	116
"15"	100287934	158	26	44	121	71	138
"16"	400728	21	1	35	88	77	34
"17"	79854	131	22	121	281	349	420
"18"	643837	388	116	1169	3392	1925	1611
"19"	100506327	85	9	93	248	96	121
"20"	284593	24	2	22	40	52	22
"21"	284600	36	3	47	1713	655	653
"22"	100130417	16	13	13	179	71	45
"23"	148398	53	19	28	16	8	30
"24"	26155	1649	218	2650	3316	3195	2952
"25"	339451	678	197	1151	1883	2257	2149
"26"	84069	8	2	0	41	17	21
"27"	84808	30	13	9	61	14	41
"28"	57801	723	484	1106	1277	1611	1492
"29"	9636	359	523	629	210	99	193
"30"	375790	9597	3604	16219	19456	20694	16325
"31"	401934	0	0	0	0	0	0
"32"	54991	766	272	926	1056	1300	1469
"33"	406984	0	0	0	1	0	0
"34"	406983	0	0	0	0	0	0
"35"	554210	0	0	0	0	0	0
"36"	100506376	0	1	0	0	0	0
"37"	254173	0	2	4	1	0	1
"38"	8784	82	34	200	0	1	2
"39"	7293	13	7	47	8	8	16
"40"	51150	4485	1167	6183	4153	4818	4527
"41"	126792	1822	372	2136	5104	3886	5348
"42"	388581	31	6	39	15	16	28
"43"	118424	2019	721	2672	3248	3063	3618
"44"	6339	1292	322	1661	785	1088	1342
"45"	116983	12233	2804	17392	14287	14375	15074
"46"	126789	247	92	402	360	317	327
"47"	54973	3159	779	3921	4639	6117	5393
"48"	80772	1936	530	2941	2404	2400	2492
"49"	83756	51	11	63	254	454	244
"50"	1855	7913	2271	14020	6188	6593	6255
"51"	54587	729	734	1629	808	1399	1714
"52"	100506404	0	0	0	0	1	0
"53"	54998	2741	1200	2689	1727	1806	1656
"54"	81669	2649	626	2443	6918	8730	9742
"55"	148413	1072	343	1039	1857	1626	2187
"56"	55052	1874	641	1671	1786	1308	1515
"57"	441869	1226	362	229	130	97	111
"58"	643965	1003	26	639	74	56	97
"59"	100288271	16	27	14	14	6	10
"60"	64856	6044	1033	2950	913	1109	1056
"61"	219293	191	42	183	156	145	153
"62"	83858	875	198	1021	1133	1591	1608
"63"	55210	1004	257	955	1372	1495	1542
"64"	339453	868	203	1232	1650	1350	1309
"65"	29101	5723	1202	5488	4745	3228	4258
"66"	643988	1657	613	2301	1076	287	895
"67"	142678	4455	782	7561	3606	5451	4335
"68"	8510	49	19	76	29	46	33
"69"	984	2335	576	2830	3262	4058	3582
"70"	728661	7468	1392	10552	42402	29432	28633
"71"	8511	43	16	64	28	27	37
"72"	728642	1455	428	1763	2689	3382	3498
"73"	100506482	4290	762	2546	11304	9093	16974
"74"	9906	495	89	1564	4033	4218	3457
"75"	65220	1781	643	2611	3503	3063	3731
"76"	2782	44274	9434	45603	107037	64239	86686
"77"	163688	38	16	36	16	18	14
"78"	339456	31	21	62	171	123	103
"79"	85452	212	9	425	73	5	32
"80"	2563	6438	993	11566	152	133	289
"81"	5590	5528	422	9529	5780	3989	3649
"82"	100506504	551	66	661	1042	1230	1256
"83"	199990	520	319	627	1168	1088	1049
"84"	100128003	216	100	337	1366	1233	1050
"85"	6497	5913	1615	10667	20743	15528	13996
"86"	79906	219	68	398	254	347	401
"87"	100129534	2551	414	2111	897	737	784
"88"	11079	3848	1028	3901	5027	4320	5451
"89"	5192	1093	435	1154	702	986	957
"90"	9651	3160	1082	8653	1890	1849	2718
"91"	55229	1209	246	2112	2055	2144	2065
"92"	388585	181	238	182	181	425	1146
